Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
90,6493.190000000001,78008.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2 ,0,588,7056.00,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m4.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (20 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),App Server,Amazon EC2 ,0,1993.6,23923.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c5.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (20 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),DB Servers,Amazon EC2 ,0,591.08,7092.96,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c4.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (50 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Load balancer,Application Load Balancer,0,28.11,337.32,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Lambda Function,AWS Lambda,0,8.63,103.56,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Number of requests (2000 per hour), Amount of ephemeral storage allocated (512 MB)"
My Estimate,US East (N. Virginia),Route53,Amazon Route 53,0,53.01,636.12,USD,,"Hosted Zones (1), Additional Records in Hosted Zones (5)"
My Estimate,US East (N. Virginia),API Gateway,Amazon API Gateway,0,5.5,66.00,USD,,"REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), HTTP API requests units (millions), Average size of each request (50 KB), Requests (2 per month), Average message size (32 KB), Requests (1 per month)"
My Estimate,US East (N. Virginia),RDS Master,Amazon RDS for MySQL,0,2044.55,24534.60,USD,,"Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (100 GB), Quantity (1), Instance type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (50 GB), Total Size of Backup Processed for Export (GB) (200 per month)"
My Estimate,US East (N. Virginia),Cognito,Amazon Cognito,0,25,300.00,USD,,"Number of monthly active users (MAU) (500), Advanced security features (Enabled)"
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB provisioned capacity,90,72.03,954.36,USD,,"Table class (Standard), Average item size (all attributes) (2 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (90 GB)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,35.63,427.56,USD,,"S3 Standard storage (1.5 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (50000), GET, SELECT, and all other requests from S3 Standard (50000), Data returned by S3 Select (5 GB per month), Data scanned by S3 Select (15 GB per month)"
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),DB ReadOnly,Amazon RDS for MySQL,0,1014.3,12171.60,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m2.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,33.75,405.00,USD,,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

"Decrease number of EC2 instances for webserver and application server"
"Reduce EC2 instance type"
"Reduce throughput, iops and size of EBS"
"Reduce memory and ephemeral storage of Lambda Function"
"Reduce number of incoming requests to API Gateway"
"Change instance type of read replica RDS DB"
"Reduce number of users sign in through OIDC federation"
